ID,UserID,MusicList
1,9,"['Crime.', 'Individual.', 'Protect decision.', 'Decision trial.', 'East ten.', 'Run eight.', 'Relationship.']"
2,42,"['Oil information.', 'Finally.', 'Remain score.', 'Artist.', 'Research deal.']"
3,47,"['Television.', 'Drop question.', 'Across recognize.', 'By southern.', 'Remain.', 'Total everybody.']"
4,60,"['Around certainly.', 'Blue.', 'Happy research.', 'Life reflect.', 'Nearly.']"
5,14,"['Movie.', 'Quite city.', 'Service.', 'Water.', 'Else call.']"
6,44,"['Reveal play.', 'Whether if.', 'Us.']"
7,3,"['Data.', 'Trip.', 'Mr.']"
8,57,"['Training.', 'Her.', 'Culture.', 'Remember.', 'Matter student.', 'Image save.']"
9,80,"['Fish capital.', 'Will.', 'Song crime.', 'Recognize.', 'Attention owner.']"
10,84,"['Research cost.', 'Move want.', 'Daughter.', 'Despite.', 'Population low.', 'Laugh.']"
11,13,"['Effect manage.', 'Social political.', 'Factor.']"
12,78,"['Have maybe.', 'Head.', 'Perform moment.']"
13,58,"['Want organization.', 'Expect.', 'Sound.', 'Hot.', 'Reality.', 'Can.']"
14,32,"['Thus may.', 'For.', 'Not thing.', 'Statement course.', 'Support.', 'Now sort.', 'Develop success.']"
15,48,"['Down.', 'Source relate.', 'Hair stock.', 'Through little.', 'Need voice.']"
16,13,"['Civil character.', 'Make.', 'Although.', 'Child shake.', 'Material.', 'Foot involve.']"
17,56,"['Century check.', 'Positive.', 'Community.', 'Manage.']"
18,67,"['Involve pressure.', 'Traditional.', 'Story serve.']"
19,73,"['Feeling.', 'Leg light.', 'Will economy.', 'Large.', 'Go.', 'Wide else.']"
20,66,"['Service.', 'Piece.', 'White get.', 'Street.']"
21,82,"['Rule.', 'Everyone rest.', 'Dark.']"
22,38,"['Opportunity.', 'Without decision.', 'Across of.', 'Source.', 'Look actually.']"
23,93,"['Pretty.', 'Particularly space.', 'Appear wonder.', 'Morning.', 'Side court.']"
24,93,"['Enter produce.', 'Pm.', 'News scientist.', 'Establish.', 'Goal common.', 'Fly.', 'Something meeting.']"
25,12,"['Yes.', 'Such.', 'Benefit cup.', 'Music.', 'Theory.', 'Child.', 'Reveal.']"
26,53,"['Science week.', 'Main money.', 'Two.', 'Main.', 'Career.']"
27,67,"['Physical.', 'Owner score.', 'Mrs.', 'Though program.', 'Contain.']"
28,25,"['Sense physical.', 'Soon where.', 'Similar collection.', 'So.', 'All present.', 'Everybody event.', 'Address out.']"
29,58,"['Republican day.', 'Purpose food.', 'Treatment.', 'Cause.', 'Ready truth.']"
30,31,"['New.', 'Base.', 'One.', 'Leg the.', 'Night plan.', 'First science.', 'Hard.']"
31,30,"['Condition.', 'White.', 'Particular type.']"
32,55,"['Enjoy.', 'Resource half.', 'Radio.', 'Pretty garden.', 'Think.', 'Official on.', 'Try later.']"
33,34,"['Career glass.', 'Minute.', 'Set local.', 'Moment culture.', 'Outside believe.', 'Oil fish.']"
34,70,"['Avoid mission.', 'Boy tree.', 'Hospital happy.']"
35,48,"['Need.', 'He.', 'Voice participant.', 'Art.', 'Total.']"
36,43,"['Choose anything.', 'Tonight.', 'Charge.', 'Southern then.']"
37,49,"['Specific.', 'Along else.', 'Line.']"
38,8,"['Set window.', 'Research.', 'Particularly fact.', 'Because cold.', 'Capital key.', 'Beat cup.', 'Statement.']"
39,75,"['Rich spring.', 'Congress camera.', 'Body light.']"
40,95,"['Commercial.', 'Successful.', 'Put.']"
41,65,"['Instead challenge.', 'Black.', 'During.', 'Spend.']"
42,25,"['Better.', 'Among admit.', 'Box.']"
43,83,"['Area.', 'Star.', 'Agency.', 'Night case.', 'Debate fly.', 'Man ground.']"
44,85,"['Wide issue.', 'Other.', 'Ten itself.', 'Air.', 'Resource.']"
45,19,"['Thought.', 'End customer.', 'End.', 'Suffer.', 'Discuss.', 'Indeed.']"
46,21,"['Paper.', 'Head use.', 'Each community.', 'Conference.', 'Tv.']"
47,60,"['Role provide.', 'Eye after.', 'Point.', 'Cut.', 'For lawyer.', 'Else author.', 'Bad.']"
48,80,"['Share.', 'Against.', 'Member above.', 'Note.', 'Require.', 'Remember second.']"
49,56,"['Than.', 'Ground.', 'General read.', 'System person.', 'Newspaper mind.', 'Physical.']"
50,40,"['Suffer.', 'True important.', 'Herself.', 'Guess.', 'Admit in.', 'Up.']"
51,38,"['Ok stock.', 'Become two.', 'Like.', 'Unit class.']"
